Oradye	O-r-a-d-y-e
fize	f-i-z-e
Joslen	J-o-s-l-en
Eskandinavi	E-s-k-an-d-i-n-a-v-i
denonsyasyon	d-e-n-on-s-y-a-s-y-on
tanbouren	t-an-b-ou-r-en
sifilis	s-i-f-i-l-i-s
pwopòsyonèlman	p-w-o-p-ò-s-y-o-n-è-l-m-an
dinamik	d-i-n-a-m-i-k
mansyonen	m-an-s-y-o-n-en
kliyantèl	k-l-i-y-an-t-è-l
paratonè	p-a-r-a-t-o-n-è
planch	p-l-an-ch
razwa	r-a-z-w-a
plen	p-l-en
dyanm	d-y-an-m
Telemaks	T-e-l-e-m-a-k-s
benediksyon	b-e-n-e-d-i-k-s-y-on
diplòm	d-i-p-l-ò-m
lenteryè	l-en-t-e-r-y-è
espesifye	e-s-p-e-s-i-f-y-e
paresèz	p-a-r-e-s-è-z
invite	in-v-i-t-e
kondisyon	k-on-d-i-s-y-on
entanpestif	en-t-an-p-e-s-t-i-f
kalte	k-a-l-t-e
wonm	w-on-m
denonsman	d-e-n-on-s-m-an
chema	ch-e-m-a
demere	d-e-m-e-r-e
amòti	a-m-ò-t-i
banm	b-an-m
zanmann	z-an-m-an-n
fe	f-e
kanivo	k-a-n-i-v-o
mezirab	m-e-z-i-r-a-b
frikat	f-r-i-k-a-t
nesesèman	n-e-s-e-s-è-m-an
pòs	p-ò-s
panye	p-a-n-y-e
konfòte	k-on-f-ò-t-e
krach	k-r-a-ch
lanmen	l-an-m-en
motèl	m-o-t-è-l
demagoji	d-e-m-a-g-o-j-i
neyokolonyal	n-e-y-o-k-o-l-o-n-y-a-l
latwoublay	l-a-t-w-ou-b-l-a-y
transpire	t-r-an-s-p-i-r-e
apwen	a-p-w-en
masak	m-a-s-a-k
Achil	A-ch-i-l
reentegrasyon	r-e-en-t-e-g-r-a-s-y-on
abilite	a-b-i-l-i-t-e
rezon	r-e-z-on
antiviris	an-t-i-v-i-r-i-s
bote	b-o-t-e
kre	k-r-e
enkonfòtab	en-k-on-f-ò-t-a-b
asepsyon	a-s-e-p-s-y-on
kontaminen	k-on-t-a-m-i-n-en
dekwochay	d-e-k-w-o-ch-a-y
Wili	W-i-l-i
bilten	b-i-l-t-en
badj	b-a-d-j
sòsye	s-ò-s-y-e
fosforesan	f-o-s-f-o-r-e-s-an
poulich	p-ou-l-i-ch
chesrès	ch-e-s-r-è-s
mazora	m-a-z-o-r-a
sanswasantuit	s-an-s-w-a-s-an-t-u-i-t
Abyata	A-b-y-a-t-a
jestikile	j-e-s-t-i-k-i-l-e
ranmasay	r-an-m-a-s-a-y
jamè	j-a-m-è
lokomotiv	l-o-k-o-m-o-t-i-v
Lawozilyè	L-a-w-o-z-i-l-y-è
ekzile	e-k-z-i-l-e
apenn	a-p-en-n
dezèdtan	d-e-z-è-d-t-an
po	p-o
Kery	K-e-r-y
teyorèm	t-e-y-o-r-è-m
Jelen	J-e-l-en
asfalt	a-s-f-a-l-t
rekreyasyon	r-e-k-r-e-y-a-s-y-on
pye	p-y-e
anlèvman	an-l-è-v-m-an
lantremiz	l-an-t-r-e-m-i-z
tenèb	t-e-n-è-b
Laskazas	L-a-s-k-a-z-a-s
grèp	g-r-è-p
pwofi	p-w-o-f-i
tchoul	t-ch-ou-l
pwospè	p-w-o-s-p-è
moral	m-o-r-a-l
Ajenò	A-j-e-n-ò
zonyon	z-o-n-y-on
kontaminasyon	k-on-t-a-m-i-n-a-s-y-on
Iranis	I-r-a-n-i-s
regrese	r-e-g-r-e-s-e
rakèt	r-a-k-è-t
trepa	t-r-e-p-a
metriz	m-e-t-r-i-z
kagou	k-a-g-ou
je	j-e
emisferik	e-m-i-s-f-e-r-i-k
karapas	k-a-r-a-p-a-s
kanon	k-a-n-on
rekonpoze	r-e-k-on-p-o-z-e
djake	d-j-a-k-e
najè	n-a-j-è
miltitid	m-i-l-t-i-t-i-d
soutitre	s-ou-t-i-t-r-e
delegasyon	d-e-l-e-g-a-s-y-on
fizye	f-i-z-y-e
tonton	t-on-t-on
boule	b-ou-l-e
modpas	m-o-d-p-a-s
kolonis	k-o-l-o-n-i-s
mililit	m-i-l-i-l-i-t
Bazil	B-a-z-i-l
akeri	a-k-e-r-i
konpliman	k-on-p-l-i-m-an
fasonnen	f-a-s-on-n-en
idandite	i-d-an-d-i-t-e
siveyans	s-i-v-e-y-an-s
tanpri	t-an-p-r-i
likè	l-i-k-è
konnye	k-on-n-y-e
ponn	p-on-n
wouji	w-ou-j-i
rektang	r-e-k-t-an-g
enfekte	en-f-e-k-t-e
kimilatif	k-i-m-i-l-a-t-i-f
zokòt	z-o-k-ò-t
sovè	s-o-v-è
blokis	b-l-o-k-i-s
envente	en-v-en-t-e
Lilavach	L-i-l-a-v-a-ch
senkantèn	s-en-k-an-t-è-n
kapon	k-a-p-on
esansyèl	e-s-an-s-y-è-l
Mongòl	M-on-g-ò-l
enposib	en-p-o-s-i-b
foubi	f-ou-b-i
opresif	o-p-r-e-s-i-f
kawòt	k-a-w-ò-t
jalou	j-a-l-ou
pèswade	p-è-s-w-a-d-e
espòtif	e-s-p-ò-t-i-f
abolisyonis	a-b-o-l-i-s-y-o-n-i-s
gagit	g-a-g-i-t
Ezayi	E-z-a-y-i
Bosko	B-o-s-k-o
Diplesi	D-i-p-l-e-s-i
vèbal	v-è-b-a-l
agrikilti	a-g-r-i-k-i-l-t-i
bis	b-i-s
mansyon	m-an-s-y-on
renplase	r-en-p-l-a-s-e
fasad	f-a-s-a-d
espesyal	e-s-p-e-s-y-a-l
bannou	b-an-n-ou
defèyte	d-e-f-è-y-t-e
espresif	e-s-p-r-e-s-i-f
kache	k-a-ch-e
refòm	r-e-f-ò-m
plat	p-l-a-t
Kapotiy	K-a-p-o-t-i-y
konplèks	k-on-p-l-è-k-s
konsil	k-on-s-i-l
klik	k-l-i-k
chase	ch-a-s-e
graf	g-r-a-f
tolere	t-o-l-e-r-e
konfiskasyon	k-on-f-i-s-k-a-s-y-on
laglas	l-a-g-l-a-s
Korint	K-o-r-i-n-t
latoumant	l-a-t-ou-m-an-t
Woukou	W-ou-k-ou
jiskensi	j-i-s-k-en-s-i
enkredilite	en-k-r-e-d-i-l-i-t-e
viza	v-i-z-a
Remon	R-e-m-on
Wendèl	W-en-d-è-l
ranyon	r-an-y-on
enpak	en-p-a-k
teyorisyen	t-e-y-o-r-i-s-y-en
krisifikasyon	k-r-i-s-i-f-i-k-a-s-y-on
pingga	p-in-g-g-a
pòpòt	p-ò-p-ò-t
aplodisman	a-p-l-o-d-i-s-m-an
rale	r-a-l-e
medite	m-e-d-i-t-e
jenan	j-e-n-an
tabak	t-a-b-a-k
preskolè	p-r-e-s-k-o-l-è
resi	r-e-s-i
vèv	v-è-v
venteinyèm	v-en-t-e-i-n-y-è-m
bèlantre	b-è-l-an-t-r-e
endigo	en-d-i-g-o
kontowle	k-on-t-o-w-l-e
kreyòl	k-r-e-y-ò-l
anwe	a-n-w-e
fraktal	f-r-a-k-t-a-l
gwadloupeyen	g-w-a-d-l-ou-p-e-y-en
toukou	t-ou-k-ou
jedou	j-e-d-ou
jèvrin	j-è-v-r-i-n
dwèt	d-w-è-t
arevwa	a-r-e-v-w-a
rate	r-a-t-e
kourandè	k-ou-r-an-d-è
ostil	o-s-t-i-l
sigòy	s-i-g-ò-y
inivèsèl	i-n-i-v-è-s-è-l
moderasyon	m-o-d-e-r-a-s-y-on
abizif	a-b-i-z-i-f
kònen	k-ò-n-en
koupyè	k-ou-p-y-è
tandiske	t-an-d-i-s-k-e
brezilyen	b-r-e-z-i-l-y-en
tas	t-a-s
kwakseswa	k-w-a-k-s-e-s-w-a
èks	è-k-s
Vatikan	V-a-t-i-k-an
ipnoz	i-p-n-o-z
kokorat	k-o-k-o-r-a-t
ret	r-e-t
santralizasyon	s-an-t-r-a-l-i-z-a-s-y-on
diy	d-i-y
otodetèminasyon	o-t-o-d-e-t-è-m-i-n-a-s-y-on
lansan	l-an-s-an
Twouyo	T-w-ou-y-o
kondanasyon	k-on-d-a-n-a-s-y-on
randevou	r-an-d-e-v-ou
tanpere	t-an-p-e-r-e
volay	v-o-l-a-y
titèl	t-i-t-è-l
depwen	d-e-p-w-en
fowòm	f-o-w-ò-m
epidemyoloji	e-p-i-d-e-m-y-o-l-o-j-i
idòl	i-d-ò-l
estrikti	e-s-t-r-i-k-t-i
vizib	v-i-z-i-b
nwizans	n-w-i-z-an-s
kourye	k-ou-r-y-e
frakti	f-r-a-k-t-i
bray	b-r-a-y
mezanmi	m-e-z-an-m-i
oryantal	o-r-y-an-t-a-l
koke	k-o-k-e
reprezay	r-e-p-r-e-z-a-y
bileng	b-i-l-en-g
senkann	s-en-k-an-n
ouf	ou-f
teknik	t-e-k-n-i-k
klaksonn	k-l-a-k-s-on-n
sispèk	s-i-s-p-è-k
Mewòm	M-e-w-ò-m
enfrastriktirèl	en-f-r-a-s-t-r-i-k-t-i-r-è-l
konvwate	k-on-v-w-a-t-e
kazwèl	k-a-z-w-è-l
Timo	T-i-m-o
jidayis	j-i-d-a-y-i-s
powèt	p-o-w-è-t
yèn	y-è-n
chik	ch-i-k
kabès	k-a-b-è-s
sanmba	s-an-m-b-a
ekatman	e-k-a-t-m-an
Ouganda	Ou-g-an-d-a
endistriyèl	en-d-i-s-t-r-i-y-è-l
rekonstri	r-e-k-on-s-t-r-i
paske	p-a-s-k-e
glase	g-l-a-s-e
nòmalyen	n-ò-m-a-l-y-en
Fonbren	F-on-b-r-en
palemantè	p-a-l-e-m-an-t-è
detèmine	d-e-t-è-m-i-n-e
pyese	p-y-e-s-e
emwòd	e-m-w-ò-d
danjere	d-an-j-e-r-e
soupi	s-ou-p-i
polisye	p-o-l-i-s-y-e
ofansè	o-f-an-s-è
nevan	n-e-v-an
dilatwa	d-i-l-a-t-w-a
sèch	s-è-ch
fatige	f-a-t-i-g-e
rediksyon	r-e-d-i-k-s-y-on
abolisyon	a-b-o-l-i-s-y-on
kazak	k-a-z-a-k
sanktifye	s-an-k-t-i-f-y-e
antreprenè	an-t-r-e-p-r-e-n-è
rekòlt	r-e-k-ò-l-t
egzaktitid	e-g-z-a-k-t-i-t-i-d
zosman	z-o-s-m-an
Lefrat	L-e-f-r-a-t
anviwonnen	an-v-i-w-on-n-en
biwokratik	b-i-w-o-k-r-a-t-i-k
fòs	f-ò-s
douzè	d-ou-z-è
chanmchanm	ch-an-m-ch-an-m
patolojis	p-a-t-o-l-o-j-i-s
pòtyè	p-ò-t-y-è
ansanm	an-s-an-m
anglofòn	an-g-l-o-f-ò-n
fridòdòy	f-r-i-d-ò-d-ò-y
iminitè	i-m-i-n-i-t-è
enpòte	en-p-ò-t-e
Sezè	S-e-z-è
bripbrip	b-r-i-p-b-r-i-p
opresè	o-p-r-e-s-è
aspirasyon	a-s-p-i-r-a-s-y-on
anlantou	an-l-an-t-ou
dezète	d-e-z-è-t-e
obsèvasyon	o-b-s-è-v-a-s-y-on
twit	t-w-i-t
swentay	s-w-en-t-a-y
Valsen	V-a-l-s-en
danse	d-an-s-e
batman	b-a-t-m-an
relèv	r-e-l-è-v
obligatwa	o-b-l-i-g-a-t-w-a
katryèm	k-a-t-r-y-è-m
lay	l-a-y
jwè	j-w-è
kanna	k-an-n-a
estèminasyon	e-s-t-è-m-i-n-a-s-y-on
tansa	t-an-s-a
boni	b-o-n-i
flechi	f-l-e-ch-i
solisyon	s-o-l-i-s-y-on
Letyopi	L-e-t-y-o-p-i
sikològ	s-i-k-o-l-ò-g
Marilin	M-a-r-i-l-i-n
kongreganis	k-on-g-r-e-g-a-n-i-s
referans	r-e-f-e-r-an-s
astewoyid	a-s-t-e-w-o-y-i-d
avantay	a-v-an-t-a-y
defèt	d-e-f-è-t
pòp	p-ò-p
detwa	d-e-t-w-a
Laferyè	L-a-f-e-r-y-è
elastik	e-l-a-s-t-i-k
apatrid	a-p-a-t-r-i-d
enprevi	en-p-r-e-v-i
Monwi	M-o-n-w-i
antinasyonalis	an-t-i-n-a-s-y-o-n-a-l-i-s
kalòt	k-a-l-ò-t
dezabòne	d-e-z-a-b-ò-n-e
enkòrèk	en-k-ò-r-è-k
doleyans	d-o-l-e-y-an-s
konsekitif	k-on-s-e-k-i-t-i-f
dous	d-ou-s
flann	f-l-an-n
popilarize	p-o-p-i-l-a-r-i-z-e
babekyou	b-a-b-e-k-y-ou
rezèvasyon	r-e-z-è-v-a-s-y-on
chak	ch-a-k
si	s-i
maniskri	m-a-n-i-s-k-r-i
satiyèt	s-a-t-i-y-è-t
Abigayèl	A-b-i-g-a-y-è-l
jandam	j-an-d-a-m
kolokolo	k-o-l-o-k-o-l-o
prensipal	p-r-en-s-i-p-a-l
Aleksandwo	A-l-e-k-s-an-d-w-o
wouy	w-ou-y
nivle	n-i-v-l-e
lafrik	l-a-f-r-i-k
kòb	k-ò-b
drandran	d-r-an-d-r-an
siksesif	s-i-k-s-e-s-i-f
pwofetize	p-w-o-f-e-t-i-z-e
pilon	p-i-l-on
rebon	r-e-b-on
regade	r-e-g-a-d-e
politès	p-o-l-i-t-è-s
kondanab	k-on-d-a-n-a-b
Divalye	D-i-v-a-l-y-e
Laziz	L-a-z-i-z
miska	m-i-s-k-a
karese	k-a-r-e-s-e
òganis	ò-g-a-n-i-s
rivyè	r-i-v-y-è
Evens	E-v-en-s
boksè	b-o-k-s-è
dyak	d-y-a-k
gwopo	g-w-o-p-o
entèdiksyon	en-t-è-d-i-k-s-y-on
fenomèn	f-e-n-o-m-è-n
kandidati	k-an-d-i-d-a-t-i
aran	a-r-an
konplent	k-on-p-l-en-t
koyegrafi	k-o-y-e-g-r-a-f-i
Orèm	O-r-è-m
dekontaminasyon	d-e-k-on-t-a-m-i-n-a-s-y-on
kontdepay	k-on-t-d-e-p-a-y
apenndis	a-p-en-n-d-i-s
rekonfime	r-e-k-on-f-i-m-e
Ferye	F-e-r-y-e
lademand	l-a-d-e-m-an-d
pwoteksyon	p-w-o-t-e-k-s-y-on
ekspikasyon	e-k-s-p-i-k-a-s-y-on
peng	p-en-g
sekrete	s-e-k-r-e-t-e
menwizye	m-en-w-i-z-y-e
Bwouklin	B-w-ou-k-l-i-n
piknik	p-i-k-n-i-k
medyòm	m-e-d-y-ò-m
savann	s-a-v-an-n
wèbmastè	w-è-b-m-a-s-t-è
blesi	b-l-e-s-i
rabèl	r-a-b-è-l
pwofesyon	p-w-o-f-e-s-y-on
rekritè	r-e-k-r-i-t-è
tibèkiloz	t-i-b-è-k-i-l-o-z
siyal	s-i-y-a-l
otobis	o-t-o-b-i-s
très	t-r-è-s
derechanj	d-e-r-e-ch-an-j
sèkèy	s-è-k-è-y
yaya	y-a-y-a
avwàn	a-v-w-à-n
fim	f-i-m
devwale	d-e-v-w-a-l-e
globalman	g-l-o-b-a-l-m-an
amalgame	a-m-a-l-g-a-m-e
rachonnen	r-a-ch-on-n-en
dinamism	d-i-n-a-m-i-s-m
byenfè	b-y-en-f-è
lakòlèt	l-a-k-ò-l-è-t
rederape	r-e-d-e-r-a-p-e
sistemik	s-i-s-t-e-m-i-k
zikap	z-i-k-a-p
lamedsin	l-a-m-e-d-s-i-n
farizyen	f-a-r-i-z-y-en
Anglad	An-g-l-a-d
koulwa	k-ou-l-w-a
soud	s-ou-d
kwè	k-w-è
Grèg	G-r-è-g
enfekete	en-f-e-k-e-t-e
minote	m-i-n-o-t-e
Twoulwi	T-w-ou-l-w-i
sivivan	s-i-v-i-v-an
dividant	d-i-v-i-d-an-t
miltidimansyonèl	m-i-l-t-i-d-i-m-an-s-y-o-n-è-l
mato	m-a-t-o
Netanya	N-e-t-a-n-y-a
solanèl	s-o-l-a-n-è-l
enfaktis	en-f-a-k-t-i-s
larèn	l-a-r-è-n
dezapwouve	d-e-z-a-p-w-ou-v-e
kèpòpòz	k-è-p-ò-p-ò-z
esplikatif	e-s-p-l-i-k-a-t-i-f
acha	a-ch-a
Dabòn	D-a-b-ò-n
lasware	l-a-s-w-a-r-e
fòt	f-ò-t
twonp	t-w-on-p
asime	a-s-i-m-e
espesyalman	e-s-p-e-s-y-a-l-m-an
atomik	a-t-o-m-i-k
abò	a-b-ò
enstans	en-s-t-an-s
flanman	f-l-an-m-an
Balan	B-a-l-an
sikonflèks	s-i-k-on-f-l-è-k-s
chouchoute	ch-ou-ch-ou-t-e
kapèt	k-a-p-è-t
kas	k-a-s
regilarize	r-e-g-i-l-a-r-i-z-e
kòdinasyon	k-ò-d-i-n-a-s-y-on
inoubliyab	i-n-ou-b-l-i-y-a-b
save	s-a-v-e
destabilizasyon	d-e-s-t-a-b-i-l-i-z-a-s-y-on
fizyoloji	f-i-z-y-o-l-o-j-i
dezame	d-e-z-a-m-e
fotèy	f-o-t-è-y
seleri	s-e-l-e-r-i
manch	m-an-ch
pantouf	p-an-t-ou-f
grensman	g-r-en-s-m-an
Chadonyè	Ch-a-d-o-n-y-è
reyèlman	r-e-y-è-l-m-an
istogram	i-s-t-o-g-r-a-m
syèl	s-y-è-l
potomitan	p-o-t-o-m-i-t-an
chi	ch-i
optimis	o-p-t-i-m-i-s
Edon	E-d-on
janti	j-an-t-i
Somali	S-o-m-a-l-i
mechanste	m-e-ch-an-s-t-e
afektasyon	a-f-e-k-t-a-s-y-on
egalego	e-g-a-l-e-g-o
Chanbelan	Ch-an-b-e-l-an
granmèsi	g-r-an-m-è-s-i
liklè	l-i-k-l-è
diktati	d-i-k-t-a-t-i
gwoupe	g-w-ou-p-e
eskliziv	e-s-k-l-i-z-i-v
Fanò	F-an-ò
Gwomòn	G-w-o-m-ò-n
galil	g-a-l-i-l
pichpich	p-i-ch-p-i-ch
wouye	w-ou-y-e
idwojèn	i-d-w-o-j-è-n
baton	b-a-t-on
toutolon	t-ou-t-o-l-on
banda	b-an-d-a
avanse	a-v-an-s-e
etidye	e-t-i-d-y-e
Dammari	D-a-m-m-a-r-i
desizyonèl	d-e-s-i-z-y-o-n-è-l
wonmaren	w-on-m-a-r-en
louvè	l-ou-v-è
kris	k-r-i-s
swèl	s-w-è-l
pepinyè	p-e-p-i-n-y-è
pafètman	p-a-f-è-t-m-an
ofanse	o-f-an-s-e
gad	g-a-d
jij	j-i-j
detou	d-e-t-ou
kobay	k-o-b-a-y
asmatik	a-s-m-a-t-i-k
segonde	s-e-g-on-d-e
malkadi	m-a-l-k-a-d-i
fikis	f-i-k-i-s
Boutilye	B-ou-t-i-l-y-e
terebantin	t-e-r-e-b-an-t-i-n
anbouye	an-b-ou-y-e
òganizasyonèl	ò-g-a-n-i-z-a-s-y-o-n-è-l
lokazyon	l-o-k-a-z-y-on
bès	b-è-s
rekonenans	r-e-k-o-n-e-n-an-s
moke	m-o-k-e
dekorativ	d-e-k-o-r-a-t-i-v
eksperimante	e-k-s-p-e-r-i-m-an-t-e
pwojè	p-w-o-j-è
dèske	d-è-s-k-e
esplikasyon	e-s-p-l-i-k-a-s-y-on
predestinasyon	p-r-e-d-e-s-t-i-n-a-s-y-on
tounen	t-ou-n-en
antite	an-t-i-t-e
Janjis	J-an-j-i-s
kanèl	k-a-n-è-l
sikre	s-i-k-r-e
milenyòm	m-i-l-e-n-y-ò-m
kameleyon	k-a-m-e-l-e-y-on
chalan	ch-a-l-an
ofisyèl	o-f-i-s-y-è-l
pannari	p-an-n-a-r-i
Boukinafaso	B-ou-k-i-n-a-f-a-s-o
legliz	l-e-g-l-i-z
Lemèk	L-e-m-è-k
vyagra	v-y-a-g-r-a
preseprese	p-r-e-s-e-p-r-e-s-e
prezide	p-r-e-z-i-d-e
fèb	f-è-b
depatya	d-e-p-a-t-y-a
Jeralda	J-e-r-a-l-d-a
konpaye	k-on-p-a-y-e
jadinay	j-a-d-i-n-a-y
Sansousi	S-an-s-ou-s-i
pwokire	p-w-o-k-i-r-e
katye	k-a-t-y-e
frekan	f-r-e-k-an
gaspiyay	g-a-s-p-i-y-a-y
sondeble	s-on-d-e-b-l-e
mamba	m-a-m-b-a
palto	p-a-l-t-o
Molver	M-o-l-v-e-r
minrè	m-i-n-r-è
lejè	l-e-j-è
biznisman	b-i-z-n-i-s-m-an
miwate	m-i-w-a-t-e
kenzmil	k-en-z-m-i-l
ireskonsab	i-r-e-s-k-on-s-a-b
imanis	i-m-a-n-i-s
erè	e-r-è
konfòmeman	k-on-f-ò-m-e-m-an
eskiltè	e-s-k-i-l-t-è
doubout	d-ou-b-ou-t
wonyen	w-o-n-y-en
konsolasyon	k-on-s-o-l-a-s-y-on
kòlòk	k-ò-l-ò-k
rach	r-a-ch
prenmye	p-r-en-m-y-e
sirabondans	s-i-r-a-b-on-d-an-s
pakin	p-a-k-i-n
premye	p-r-e-m-y-e
giyanè	g-i-y-a-n-è
rape	r-a-p-e
krikèt	k-r-i-k-è-t
entègouvènmantal	en-t-è-g-ou-v-è-n-m-an-t-a-l
toudi	t-ou-d-i
vesi	v-e-s-i
dezinyen	d-e-z-i-n-y-en
jakmèl	j-a-k-m-è-l
toutis	t-ou-t-i-s
vrèman	v-r-è-m-an
Latwoub	L-a-t-w-ou-b
sifraj	s-i-f-r-a-j
Byeneme	B-y-e-n-e-m-e
tyoule	t-y-ou-l-e
konplotè	k-on-p-l-o-t-è
ekriven	e-k-r-i-v-en
Tibwa	T-i-b-w-a
onètete	o-n-è-t-e-t-e
Laplen	L-a-p-l-en
pwomenad	p-w-o-m-e-n-a-d
kore	k-o-r-e
manti	m-an-t-i
telekopi	t-e-l-e-k-o-p-i
